transaction_id,customer_id,amount,hour,day_of_week,merchant_category,device_type,channel,distance_from_home_km,transaction_velocity_1h,account_age_days,avg_ticket_30d,is_international,has_chargeback_history,is_weekend,is_night_txn,is_fraud
TXN-00000000,18032,117.5,17,3,electronics,pos_terminal,atm,18.49,1,2798,83.19,1,1,0,0,0
TXN-00000001,79655,218.85,14,2,groceries,tablet,in_store,17.72,2,1036,575.16,1,0,0,0,0
TXN-00000002,68910,134.52,21,1,utilities,tablet,in_store,12.75,1,2134,190.79,0,0,0,0,0
TXN-00000003,49498,192.63,18,6,fashion,mobile,in_store,16.91,2,2366,345.63,0,0,1,0,0
TXN-00000004,48970,76.48,23,3,groceries,tablet,online,4.89,3,3555,222.69,0,0,0,1,0
TXN-00000005,87272,415.14,13,3,fuel,pos_terminal,in_store,20.01,2,236,223.28,0,0,0,0,0
TXN-00000006,17735,119.62,6,0,gaming,mobile,online,14.93,2,1550,265.73,1,0,0,0,0
TXN-00000007,72762,20.83,1,1,gaming,mobile,online,48.55,2,314,446.92,0,0,0,1,0
TXN-00000008,28132,144.17,4,3,electronics,pos_terminal,online,4.6,2,833,765.45,0,0,0,1,0
TXN-00000009,18475,104.65,8,3,groceries,mobile,atm,14.6,1,3567,150.2,0,0,0,0,0
TXN-00000010,57382,396.52,11,3,gaming,mobile,in_store,13.56,2,3300,71.02,0,0,0,0,1
TXN-00000011,97805,87.92,13,0,food_delivery,desktop,in_store,1.46,2,2046,183.8,0,1,0,0,0
TXN-00000012,76216,132.98,10,1,groceries,desktop,online,31.65,4,1410,216.39,0,0,0,0,0
TXN-00000013,78501,223.4,7,2,groceries,pos_terminal,in_store,7.52,3,2633,127.21,0,0,0,0,0
TXN-00000014,74572,295.11,19,1,healthcare,mobile,atm,8.84,1,1961,107.61,0,0,0,0,0
TXN-00000015,80745,494.43,14,0,fuel,desktop,in_store,4.19,1,1025,292.77,0,0,0,0,0
TXN-00000016,56189,94.55,2,0,groceries,mobile,online,13.65,3,1672,155.38,0,0,0,1,0
TXN-00000017,21530,457.99,12,6,electronics,mobile,online,6.27,1,2676,129.97,0,0,1,0,0
TXN-00000018,85576,386.12,3,6,fashion,mobile,in_store,20.32,0,2027,176.85,1,0,1,1,0
TXN-00000019,50534,103.29,18,5,fashion,pos_terminal,online,6.5,2,2598,95.51,0,0,1,0,0
TXN-00000020,55031,92.86,4,0,electronics,desktop,online,14.34,2,887,268.18,0,0,0,1,0
TXN-00000021,43371,259.57,12,4,electronics,mobile,in_store,4.65,1,3347,184.36,0,0,0,0,0
TXN-00000022,26429,189.14,1,6,cash_withdrawal,mobile,online,6.63,3,61,290.89,0,1,1,1,0
TXN-00000023,93407,259.08,22,0,groceries,pos_terminal,online,21.85,3,2495,176.0,0,0,0,0,0
TXN-00000024,80340,147.89,1,6,utilities,mobile,atm,19.83,1,274,208.66,0,0,1,1,1
TXN-00000025,67947,203.81,15,4,electronics,tablet,online,12.69,2,3524,355.63,0,0,0,0,0
TXN-00000026,46216,175.48,12,4,groceries,desktop,online,1.44,3,3168,151.3,0,0,0,0,0
TXN-00000027,84047,256.54,1,1,utilities,mobile,online,26.26,4,3103,405.92,0,0,0,1,0
TXN-00000028,59088,90.03,21,6,fuel,mobile,online,1.85,2,621,313.62,0,0,1,0,1
TXN-00000029,49906,215.73,9,6,utilities,desktop,online,54.78,3,1019,39.37,0,0,1,0,0
TXN-00000030,50540,487.72,19,3,gaming,mobile,atm,13.11,0,3542,88.11,0,0,0,0,0
TXN-00000031,30451,469.09,11,3,fashion,tablet,in_store,3.68,2,1557,353.96,0,0,0,0,1
TXN-00000032,18292,234.59,4,0,travel,tablet,in_store,16.66,2,1742,114.72,1,1,0,1,1
TXN-00000033,59912,88.38,6,0,travel,mobile,online,21.49,0,128,119.17,0,0,0,0,1
TXN-00000034,89909,647.4,3,1,healthcare,pos_terminal,online,5.0,1,2558,295.19,1,1,0,1,1
TXN-00000035,15743,256.6,9,0,gaming,pos_terminal,in_store,15.58,8,1658,524.02,0,0,0,0,0
TXN-00000036,87245,605.72,14,6,food_delivery,mobile,online,77.7,2,3570,230.87,0,0,1,0,0
TXN-00000037,84485,264.3,13,2,fashion,mobile,online,18.38,2,1684,179.51,0,0,0,0,0
TXN-00000038,34908,12.02,7,5,electronics,mobile,online,25.23,2,314,344.35,1,0,1,0,0
TXN-00000039,66849,644.64,8,2,healthcare,mobile,online,3.5,4,849,119.33,0,0,0,0,0
TXN-00000040,24870,349.22,12,6,electronics,desktop,in_store,15.57,2,1246,61.99,0,0,1,0,0
TXN-00000041,78227,198.04,6,3,groceries,pos_terminal,online,22.2,1,3271,168.45,0,1,0,0,0
TXN-00000042,73046,34.53,17,2,groceries,mobile,online,1.56,1,116,110.05,0,0,0,0,0
TXN-00000043,41906,375.99,7,0,fuel,tablet,online,4.62,4,1432,336.82,0,1,0,0,1
TXN-00000044,16112,262.48,21,1,electronics,desktop,online,2.36,1,1209,332.73,0,0,0,0,0
TXN-00000045,97361,768.04,5,1,fuel,mobile,online,45.53,2,453,93.38,0,0,0,1,1
TXN-00000046,50111,566.05,4,1,groceries,mobile,in_store,26.69,4,349,126.04,0,0,0,1,1
TXN-00000047,90380,594.02,22,2,groceries,pos_terminal,online,11.54,1,754,204.63,0,0,0,0,0
TXN-00000048,71012,229.99,1,5,utilities,mobile,online,8.8,0,3074,358.14,0,0,1,1,0
TXN-00000049,80053,222.39,0,4,food_delivery,pos_terminal,online,20.22,2,493,121.21,0,0,0,1,0
TXN-00000050,78390,264.61,5,1,fashion,mobile,online,18.69,2,1612,245.95,0,0,0,1,0
TXN-00000051,27517,113.1,4,3,gaming,pos_terminal,online,1.17,1,3254,33.3,1,0,0,1,0
TXN-00000052,42751,202.51,13,4,fashion,pos_terminal,online,2.37,0,2091,160.43,0,0,0,0,0
TXN-00000053,52004,172.57,20,5,food_delivery,mobile,online,21.79,2,878,171.5,0,0,1,0,0
TXN-00000054,54800,449.09,2,6,fashion,tablet,in_store,1.4,2,550,135.39,0,0,1,1,1
