amount,account_age_days,distance_from_home_km,transaction_velocity_1h,hour,is_international,has_chargeback_history,avg_ticket_30d,is_night_txn,channel_in_store,day_of_week,device_type_mobile,merchant_category_travel,device_type_desktop,channel_online,is_weekend,merchant_category_utilities,device_type_pos_terminal,merchant_category_gaming,merchant_category_groceries,is_fraud
117.5,2798.0,18.49,1.0,17.0,1.0,1.0,83.19,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
218.85,1036.0,17.72,2.0,14.0,1.0,0.0,575.16,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
134.52,2134.0,12.75,1.0,21.0,0.0,0.0,190.79,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
192.63,2366.0,16.91,2.0,18.0,0.0,0.0,345.63,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
76.48,3555.0,4.89,3.0,23.0,0.0,0.0,222.69,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
415.14,236.0,20.01,2.0,13.0,0.0,0.0,223.28,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
119.62,1550.0,14.93,2.0,6.0,1.0,0.0,265.73,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
20.83,314.0,48.55,2.0,1.0,0.0,0.0,446.92,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
144.17,833.0,4.6,2.0,4.0,0.0,0.0,765.45,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
104.65,3567.0,14.6,1.0,8.0,0.0,0.0,150.2,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
396.52,3300.0,13.56,2.0,11.0,0.0,0.0,71.02,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
87.92,2046.0,1.46,2.0,13.0,0.0,1.0,183.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
132.98,1410.0,31.65,4.0,10.0,0.0,0.0,216.39,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
223.4,2633.0,7.52,3.0,7.0,0.0,0.0,127.21,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
295.11,1961.0,8.84,1.0,19.0,0.0,0.0,107.61,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
494.43,1025.0,4.19,1.0,14.0,0.0,0.0,292.77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
